Time,nC,r5,r6,nCmfe5,ac,ac5,zz,zz5,fe,fe5,bay5,bay5l,bay6,bay6l,other,growth rate,fR5,bifurcations
0.000165165165165,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00017017017017,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000175175175175,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00018018018018,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000185185185185,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00019019019019,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000195195195195,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.0002002002002,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000205205205205,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00021021021021,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000215215215215,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00022022022022,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000225225225225,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00023023023023,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000235235235235,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00024024024024,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.000245245245245,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
0.00025025025025,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0
0.000255255255255,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,799.2,0.0,0.0
0.00026026026026,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,532.8,0.0,0.0
0.000265265265265,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,799.2,0.0,0.0
0.00027027027027,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.000275275275275,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00028028028028,24.0,0.0,7.0,24.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000285285285285,24.0666666667,0.0333333333333,7.0,24.0,0.0,0.0,5.96666666667,0.0666666666667,5.93333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00029029029029,24.0666666667,0.0333333333333,7.0,24.0,0.0,0.0,5.96666666667,0.0666666666667,5.93333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000295295295295,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.0003003003003,24.1333333333,0.0666666666667,7.0,24.0,0.0,0.0,5.93333333333,0.133333333333,5.86666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000305305305305,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
